Date;Abf. Stoffe [mg/l];Al filt. [µg/l];NH3-N [µg/l];NH4-N [mg/l];BSB5 (EN1899, ohne ATH) [mg/l];Ca filt. [mg/l];Chlorid [mg/l];Fe filt. [mg/l];LF (20 °C) vor Ort [µS/cm];DOC [mg/l];K filt. [mg/l];Mg filt. [mg/l];Mn filt. [mg/l];Na filt. [mg/l];NO3 [mg/l];NO3-N [mg/l];NO2-N [mg/l];pH-Wert (vor Ort) [-];o-PO4-P [mg/l];P-ges. [mg/l];P-ges. filt. [mg/l];O2-gelöst [mg/l];SO4 [mg/l];KS 4,3 [mmol/l];TOC [mg/l];Wassertemp.(vor Ort) [°C]
1994-04-15;126.0;;;0.105;3.3;;5.0;;249.0;;;;;;;0.7;;8.15;0.044;0.242;;11.65;8.0;3.13;5.6;5.15
1994-05-15;18.5;;;0.065;1.3;;4.5;;235.0;;;;;;;0.55;;8.2;0.007;0.028;;11.6;14.0;2.83;1.55;8.6
1994-06-15;22.0;;;0.1;2.0;;6.0;;273.0;;;;;;;0.45;;8.15;0.025;0.068;;11.45;13.5;3.18;2.15;10.85
1994-07-15;303.0;;;0.09;2.35;;6.0;;259.5;;;;;;;0.3;;8.05;0.034;0.238;;10.5;15.0;3.675;4.6;12.3
1994-08-15;6.5;;;0.18;1.05;;7.5;;333.0;;;;;;;0.8;;8.15;0.02;0.03;;9.05;26.0;3.505;1.15;15.05
1994-09-15;32.0;;;0.093;2.4;;4.667;;329.0;;;;;;;0.7;;8.167;0.026;0.066;;9.967;23.0;3.443;2.633;11.833
1994-10-15;14.5;;;0.065;2.6;;5.5;;355.0;;;;;;;0.8;;8.1;0.022;0.042;;10.6;25.0;3.64;2.75;8.85
1994-11-15;18.5;;;0.14;1.3;;8.5;;359.0;;;;;;;0.75;;8.1;0.019;0.026;;10.8;21.5;3.59;1.45;6.95
1994-12-15;12.6;;;0.14;1.35;;6.0;;366.5;;;;;;;0.9;;8.0;0.032;0.042;;11.65;25.0;3.83;1.6;4.45
1995-01-15;12.5;;;0.405;1.3;;8.0;;386.5;;;;;;;0.85;;8.25;0.03;0.038;;12.35;22.0;4.105;2.0;1.25
1995-02-15;17.5;;;0.275;1.9;;8.5;;338.0;;;;;;;0.65;;8.2;0.03;0.055;;11.8;17.5;3.63;2.95;4.35
1995-03-15;12.0;;;0.267;1.567;;10.667;;363.333;;;;;;;0.8;;8.233;0.013;0.028;;12.9;18.667;3.89;2.733;4.0
1995-04-15;190.5;;;0.14;2.75;;6.0;;260.0;;;;;;;0.7;;8.05;0.028;0.082;;12.25;9.0;3.195;5.6;5.8
1995-05-15;13.0;;;0.055;1.2;;4.5;;257.0;;;;;;;0.55;;8.1;0.006;0.022;;11.05;13.5;2.73;1.05;7.6
1995-06-15;23.5;;;0.04;1.7;;5.5;;253.5;;;;;;;0.45;;8.05;0.013;0.044;;11.15;10.0;2.745;1.7;9.55
1995-07-15;10.0;;;0.08;1.0;;4.5;;277.5;;;;;;;0.5;;8.05;0.011;0.024;;10.1;11.5;2.855;1.85;11.6
1995-08-15;6.667;;;0.073;1.367;;4.333;;305.667;;;;;;;0.667;;8.1;0.022;0.073;;11.4;16.667;3.413;3.167;12.1
1995-09-15;53.5;;;0.13;2.5;;4.0;;277.0;;;;;;;0.55;;8.0;0.03;0.146;;10.65;16.0;3.475;5.45;9.95
1995-10-15;11.0;;;0.11;< BG;;7.0;;363.5;;;;;;;0.8;;8.1;0.015;0.02;;10.75;28.5;4.165;1.0;10.0
1995-11-15;18.0;;;0.145;1.35;;6.0;;366.0;;;;;;;0.7;;8.0;0.016;0.024;;11.55;18.5;3.83;2.8;4.55
1995-12-15;7.0;;;0.555;2.3;;15.5;;399.0;;;;;;;1.0;;8.0;0.032;0.048;;11.3;26.0;3.71;1.9;3.6
1996-01-15;4.5;;;0.51;1.5;;8.0;;372.5;;;;;;;0.85;;8.05;0.024;0.037;;10.9;16.5;3.795;1.45;3.05
1996-02-15;7.333;;;0.747;2.1;;16.0;;411.667;;;;;;;0.833;;8.267;0.023;0.032;;12.933;25.0;3.947;1.933;1.867
1996-03-15;4.0;;;0.58;2.05;;10.5;;356.0;;;;;;;1.0;;8.45;0.016;0.032;;14.35;21.5;3.595;2.55;2.5
1996-04-15;22.0;;;0.195;1.8;;4.0;;272.0;;;;;;;0.9;;8.05;0.008;0.022;;12.4;18.0;2.905;1.5;6.4
1996-05-15;15.0;;;0.26;1.9;;5.0;;256.0;;;;;;;0.65;;7.9;0.017;0.034;;10.45;15.0;2.59;2.0;8.1
