YY MM DD HH 11502 10304 20203
1980 3 9 21 34.29665 22.25018 22.24301
1980 3 10 0 34.61137 22.1325 22.11392
1980 3 10 3 34.7867 22.02314 21.99082
1980 3 10 6 34.89018 21.91876 21.88073
1980 3 10 9 34.90651 21.81934 21.76711
1980 3 10 12 35.03163 21.72588 21.66358
1980 3 10 15 35.09391 21.64899 21.57402
1980 3 10 18 35.29167 21.57948 21.48511
1980 3 10 21 35.82056 21.49218 21.40863
1980 3 11 0 36.13241 21.40364 21.34241
1980 3 11 3 35.89442 21.31664 21.28319
1980 3 11 6 35.25162 21.23312 21.2365
1980 3 11 9 34.52535 21.1527 21.19749
1980 3 11 12 33.92502 21.143 21.18387
1980 3 11 15 33.68019 21.32305 21.18439
1980 3 11 18 33.78614 21.49348 21.19208
1980 3 11 21 33.73119 21.45548 21.21662
1980 3 12 0 33.3884 21.36136 21.26749
1980 3 12 3 33.0647 21.25938 21.32099
1980 3 12 6 32.76789 21.15171 21.35194
1980 3 12 9 32.57384 21.0391 21.37085
1980 3 12 12 32.43503 20.9385 21.38544
1980 3 12 15 32.31651 20.93625 21.36948
1980 3 12 18 32.4524 21.000610000000002 21.3533
1980 3 12 21 33.44874 20.91989 21.31322
1980 3 13 0 33.92499 20.82102 21.26625
1980 3 13 3 33.59594 20.72237 21.22894
1980 3 13 6 33.1814 20.61176 21.19484
1980 3 13 9 32.76755 20.50442 21.18378
1980 3 13 12 32.40922 20.43003 21.18078
1980 3 13 15 32.1632 20.60124 21.18433
1980 3 13 18 32.48158 20.75303 21.17892
1980 3 13 21 33.98166 20.73833 21.20481
1980 3 14 0 34.93036 20.63377 21.22317
1980 3 14 3 34.90289 20.52198 21.23544
1980 3 14 6 34.43464 20.39931 21.26056
1980 3 14 9 33.73502 20.27496 21.27661
1980 3 14 12 33.09706 20.51133 21.28961
1980 3 14 15 32.47919 21.06119 21.27156
1980 3 14 18 32.84389 21.51408 21.2275
1980 3 14 21 35.48352 21.57368 21.16115
1980 3 15 0 37.58008 21.49734 21.08695
1980 3 15 3 38.06317 21.3211 21.0104
1980 3 15 6 37.54909 21.11681 20.93002
1980 3 15 9 36.51246 20.88832 20.85513
1980 3 15 12 35.00233 20.68358 20.77941
1980 3 15 15 33.65056 20.58544 20.70682
1980 3 15 18 32.90247 20.45468 20.63438
1980 3 15 21 32.6934 20.27417 20.56047
1980 3 16 0 32.62181 20.10078 20.47982
1980 3 16 3 32.4094 19.94135 20.40394
1980 3 16 6 32.09555 19.79656 20.33131
1980 3 16 9 31.77655 19.65625 20.26285
1980 3 16 12 31.46232 19.53214 20.20323
1980 3 16 15 31.21637 19.44339 20.13948
1980 3 16 18 31.07549 19.37239 20.06525
1980 3 16 21 31.07604 19.27205 20.00052
1980 3 17 0 31.04404 19.16747 19.92126
1980 3 17 3 30.96111 19.06936 19.84973
1980 3 17 6 30.87382 18.97676 19.78541
1980 3 17 9 30.79231 18.88447 19.72389
1980 3 17 12 30.70352 18.85111 19.66936
1980 3 17 15 30.60071 19.07949 19.61285
1980 3 17 18 30.96647 19.51309 19.55455
1980 3 17 21 31.80437 19.62502 19.49997
1980 3 18 0 32.58059 19.64158 19.43967
1980 3 18 3 32.8387 19.5234 19.38209
1980 3 18 6 32.68314 19.37128 19.32804
1980 3 18 9 32.26264 19.2086 19.27546
1980 3 18 12 31.65481 19.06003 19.22611
1980 3 18 15 31.07716 19.06958 19.17341
1980 3 18 18 30.81362 19.28416 19.12462
1980 3 18 21 31.03134 19.28096 19.0661
1980 3 19 0 31.84366 19.15722 19.00668
1980 3 19 3 32.43087 19.00739 18.95668
1980 3 19 6 32.38865 18.85457 18.91081
1980 3 19 9 32.11976 18.70781 18.86599
1980 3 19 12 31.50233 18.63613 18.83085
1980 3 19 15 30.83798 18.89521 18.78981
1980 3 19 18 30.46717 19.3225 18.75931
1980 3 19 21 30.8042 19.40592 18.7308
1980 3 20 0 32.6864 19.30411 18.70466
1980 3 20 3 33.85109 19.1136 18.68236
1980 3 20 6 33.82087 18.92617 18.66503
1980 3 20 9 33.16635 18.74364 18.63823
1980 3 20 12 32.20207 18.58871 18.61298
1980 3 20 15 31.20366 18.63564 18.58475
1980 3 20 18 30.5321 18.93821 18.55519
1980 3 20 21 30.44507 19.03691 18.52643
1980 3 21 0 30.70961 18.96541 18.49426
1980 3 21 3 30.62791 18.82814 18.46717
1980 3 21 6 30.24311 18.65814 18.43906
1980 3 21 9 29.8587 18.48935 18.413
1980 3 21 12 29.47959 18.33473 18.38498
1980 3 21 15 29.28149 18.22455 18.35772
1980 3 21 18 29.45004 18.17458 18.32414
1980 3 21 21 30.62393 18.03141 18.28903
1980 3 22 0 31.53976 17.89651 18.25746
1980 3 22 3 31.53208 17.77092 18.22389
1980 3 22 6 30.97352 17.65422 18.19685
1980 3 22 9 30.34744 17.54519 18.17077
1980 3 22 12 29.72077 17.47278 18.15763
1980 3 22 15 29.28296 17.49238 18.12548
1980 3 22 18 29.25596 17.55154 18.08901
1980 3 22 21 30.52069 17.5104 18.05831
1980 3 23 0 31.55595 17.46582 18.01308
1980 3 23 3 31.47733 17.38006 17.97717
1980 3 23 6 30.81937 17.28677 17.94676
1980 3 23 9 30.09094 17.18868 17.91405
1980 3 23 12 29.42016 17.1347 17.88764
1980 3 23 15 29.03099 17.1845 17.85228
1980 3 23 18 29.51574 17.23041 17.81543
1980 3 23 21 30.6926 17.23156 17.78128
1980 3 24 0 31.45287 17.18969 17.73035
1980 3 24 3 31.16818 17.16778 17.69433
1980 3 24 6 30.3699 17.09657 17.66171
1980 3 24 9 29.63825 16.99971 17.63252
1980 3 24 12 29.07615 16.92716 17.61273
1980 3 24 15 28.67322 16.86902 17.58558
1980 3 24 18 28.49898 16.83445 17.55543
1980 3 24 21 28.59322 16.75772 17.53045
1980 3 25 0 28.62675 16.67787 17.51
1980 3 25 3 28.5574 16.5983 17.50497
1980 3 25 6 28.42179 16.52193 17.48427
1980 3 25 9 28.24596 16.44591 17.46348
1980 3 25 12 28.04764 16.37432 17.44493
1980 3 25 15 27.91343 16.37915 17.42185
1980 3 25 18 28.07973 16.51106 17.39284
1980 3 25 21 28.34978 16.55516 17.36227
1980 3 26 0 28.75869 16.54401 17.31846
1980 3 26 3 29.57647 16.48459 17.28647
1980 3 26 6 29.87977 16.41069 17.25467
1980 3 26 9 29.60309 16.32643 17.23284
1980 3 26 12 29.14259 16.24904 17.20626
1980 3 26 15 28.63777 16.23827 17.18914
1980 3 26 18 28.3518 16.29759 17.16482
1980 3 26 21 28.61711 16.27608 17.1514
1980 3 27 0 29.36813 16.20635 17.13679
1980 3 27 3 29.97744 16.12102 17.1165
1980 3 27 6 30.4828 16.05254 17.14647
1980 3 27 9 30.50022 16.12091 17.21327
1980 3 27 12 30.23917 16.34425 17.291
1980 3 27 15 30.31728 16.57595 17.43791
1980 3 27 18 30.81663 16.87239 17.69348
1980 3 27 21 31.51048 17.11158 18.05147
1980 3 28 0 32.27264 17.20252 18.5122
1980 3 28 3 32.98112 17.19858 18.96833
1980 3 28 6 33.31759 17.16371 19.43636
1980 3 28 9 33.27276 17.15388 19.87377
1980 3 28 12 34.43966 17.34655 20.27089
1980 3 28 15 38.05376 17.87905 20.57146
1980 3 28 18 42.62288 18.61939 20.78891
1980 3 28 21 46.05156 19.14314 20.91871
1980 3 29 0 49.73865 19.37718 20.94236
1980 3 29 3 53.70453 19.37121 20.94359
1980 3 29 6 52.95332 19.24299 20.9451
1980 3 29 9 49.80422 19.03974 20.96581
1980 3 29 12 46.36003 18.94249 20.95002
1980 3 29 15 42.38376 19.11962 20.95756
1980 3 29 18 40.04686 19.42973 20.94872
1980 3 29 21 39.42322 19.68173 20.96873
1980 3 30 0 40.14559 19.81706 20.96553
1980 3 30 3 40.3508 19.69221 20.95813
1980 3 30 6 39.0871 19.39291 20.9525
1980 3 30 9 36.79607 18.99549 20.92493
1980 3 30 12 34.86455 18.57328 20.87877
1980 3 30 15 33.54162 18.21706 20.82756
1980 3 30 18 32.45401 17.98073 20.76217
1980 3 30 21 31.31705 17.72842 20.684
1980 3 31 0 30.10922 17.44618 20.60576
1980 3 31 3 29.31157 17.16463 20.54589
1980 3 31 6 28.74984 16.90274 20.50695
1980 3 31 9 28.27574 16.66535 20.49233
1980 3 31 12 27.94061 16.49999 20.46876
1980 3 31 15 28.73764 16.48744 20.44334
1980 3 31 18 32.77314 16.43205 20.41613
1980 3 31 21 37.76551 16.5097 20.48362
1980 4 1 0 41.84314 16.85257 20.71798
1980 4 1 3 45.57982 17.44829 21.23064
1980 4 1 6 53.52873 18.32922 21.91477
1980 4 1 9 56.46084 19.06144 22.68412
1980 4 1 12 57.40697 19.60496 23.40555
1980 4 1 15 59.24734 20.04723 24.04079
1980 4 1 18 64.70269 20.47463 24.51653
1980 4 1 21 68.45101 20.77181 25.10742
1980 4 2 0 69.31395 20.8293 26.60773
1980 4 2 3 66.97878 20.6598 28.28258
1980 4 2 6 65.20893 20.57956 29.97828
1980 4 2 9 71.95051 20.60626 31.02328
1980 4 2 12 74.4796 20.56767 31.71404
1980 4 2 15 76.32928 20.82981 31.94125
1980 4 2 18 78.57809 21.42204 31.95708
1980 4 2 21 77.67421 22.05369 31.73508
1980 4 3 0 74.209 22.24872 31.32249
1980 4 3 3 68.31311 22.03124 30.87228
1980 4 3 6 62.13349 21.61238 30.54918
1980 4 3 9 57.86201 21.08059 30.37691
1980 4 3 12 53.50288 20.55129 30.3338
1980 4 3 15 57.89967 20.06936 30.41282
1980 4 3 18 70.42522 19.60022 30.61602
1980 4 3 21 69.36355 19.16665 30.90556
1980 4 4 0 63.48284 18.77116 30.99469
1980 4 4 3 57.23315 18.46179 30.84208
1980 4 4 6 52.60667 18.22033 30.47985
1980 4 4 9 48.70458 17.9413 30.0102
1980 4 4 12 45.83349 17.66446 29.41285
1980 4 4 15 43.87668 17.37836 28.8278
1980 4 4 18 42.33174 17.1204 28.24181
1980 4 4 21 41.35153 16.88096 27.73006
1980 4 5 0 40.5241 16.66164 27.25633
1980 4 5 3 39.86289 16.45452 26.85829
1980 4 5 6 39.30188 16.26698 26.51083
1980 4 5 9 38.8577 16.08802 26.17086
1980 4 5 12 38.46881 15.92617 25.83829
1980 4 5 15 38.11226 15.77164 25.52454
1980 4 5 18 37.77498 15.63306 25.23625
1980 4 5 21 37.43919 15.49793 24.96191
1980 4 6 0 37.1642 15.37589 24.73427
1980 4 6 3 36.85203 15.25735 24.51241
1980 4 6 6 36.57766 15.15122 24.28266
1980 4 6 9 36.32312 15.04545 24.05752
1980 4 6 12 36.07619 14.95004 23.83766
1980 4 6 15 35.81358 14.85484 23.61731
1980 4 6 18 35.51606 14.77024 23.41101
1980 4 6 21 35.33015 14.68419 23.22042
1980 4 7 0 35.09855 14.60545 23.06136
1980 4 7 3 34.89827 14.52948 22.90276
1980 4 7 6 34.65394 14.45935 22.76427
1980 4 7 9 34.41737 14.3852 22.62725
1980 4 7 12 34.19265 14.32744 22.50681
1980 4 7 15 34.3484 14.31074 22.36612
1980 4 7 18 34.93412 14.3315 22.23357
1980 4 7 21 35.65447 14.26855 22.08178
1980 4 8 0 35.90792 14.20121 21.95664
1980 4 8 3 35.53276 14.13516 21.86019
1980 4 8 6 34.93752 14.07633 21.80054
1980 4 8 9 34.28544 14.02832 21.7717
1980 4 8 12 33.91587 13.99353 21.77796
1980 4 8 15 34.00406 13.93709 21.79773
1980 4 8 18 34.76498 13.88633 21.821
1980 4 8 21 35.45722 13.82985 21.82819
1980 4 9 0 35.33842 13.77588 21.81218
1980 4 9 3 34.86902 13.72365 21.78366
1980 4 9 6 34.2359 13.67321 21.738
1980 4 9 9 33.69361 13.62475 21.6954
1980 4 9 12 33.14528 13.58349 21.64749
1980 4 9 15 32.60548 13.53775 21.58145
1980 4 9 18 32.17961 13.49377 21.52496
1980 4 9 21 31.86135 13.45126 21.51377
1980 4 10 0 31.60554 13.40987 21.55113
1980 4 10 3 31.36984 13.37261 21.59033
1980 4 10 6 31.14517 13.33222 21.63056
1980 4 10 9 30.92215 13.29332 21.67392
1980 4 10 12 30.76038 13.25534 21.70159
1980 4 10 15 31.15419 13.2219 21.70773
1980 4 10 18 32.17908 13.18678 21.68076
1980 4 10 21 33.27853 13.15049 21.66622
1980 4 11 0 33.45036 13.11426 21.67899
1980 4 11 3 32.83596 13.08049 21.68338
1980 4 11 6 32.11703 13.046569999999999 21.70449
1980 4 11 9 31.674 13.0133 21.7179
1980 4 11 12 31.81024 12.98324 21.73454
1980 4 11 15 33.04139 12.99159 21.73827
1980 4 11 18 35.85083 13.0265 21.7305
1980 4 11 21 40.78495 13.03003 21.69787
1980 4 12 0 42.69356 12.9995 21.63213
1980 4 12 3 41.72478 12.96983 21.55745
1980 4 12 6 39.52398 12.93551 21.47106
